GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
131118,DNAJC19,-0.285,1.393
9175,MAP3K13,-0.287,2.036
10478,SLC25A17,-0.289,1.655
57231,SNX14,-0.29,1.58
23595,ORC3,-0.29,1.34
8872,CDC123,-0.29,1.862
387522,PEDS1-UBE2V1,-0.29,1.663
8487,GEMIN2,-0.291,1.412
830,CAPZA2,-0.292,1.346
1072,CFL1,-0.293,1.305
56943,ENY2,-0.295,1.572
51699,VPS29,-0.296,1.648
10213,PSMD14,-0.297,1.309
22820,COPG1,-0.299,1.359
644019,ZNG1F,-0.299,1.379
5917,RARS1,-0.302,1.543
80219,COQ10B,-0.303,1.429
84549,MAK16,-0.303,1.454
8766,RAB11A,-0.303,1.409
79568,MAIP1,-0.304,1.32
84896,ATAD1,-0.304,1.594
5902,RANBP1,-0.304,1.367
5440,POLR2K,-0.305,1.348
23673,STX12,-0.307,2.132
3838,KPNA2,-0.307,1.384
10131,TRAP1,-0.308,1.322
52,ACP1,-0.311,1.419
64983,MRPL32,-0.312,1.501
23256,SCFD1,-0.312,1.739
28985,MCTS1,-0.312,1.635
10657,KHDRBS1,-0.313,1.724
80349,SKIC8,-0.313,1.406
10621,POLR3F,-0.314,1.485
128387,TATDN3,-0.315,1.605
8533,COPS3,-0.318,1.501
286480,UBE2E4P,-0.319,1.565
10016,PDCD6,-0.321,2.13
81573,ANKRD13C,-0.325,1.4
115253422,DUS4L-BCAP29,-0.326,1.371
83877,TM2D2,-0.327,1.34
57149,LYRM1,-0.329,1.315
10671,DCTN6,-0.33,1.316
10477,UBE2E3,-0.331,1.791
134637,ADAT2,-0.332,1.335
5521,PPP2R2B,-0.334,1.421
64755,RUSF1,-0.336,1.307
5805,PTS,-0.337,1.41
5682,PSMA1,-0.338,1.706
7335,UBE2V1,-0.338,1.594
54928,BPNT2,-0.339,1.501
139341,FUNDC1,-0.339,1.396
60,ACTB,-0.34,1.526
51669,SARAF,-0.341,1.706
23590,PDSS1,-0.341,1.314
100532726,NDUFC2-KCTD14,-0.341,1.594
27247,NFU1,-0.342,1.503
84317,CCDC115,-0.343,1.766
4719,NDUFS1,-0.343,1.308
79145,CHCHD7,-0.343,1.659
80145,THOC7,-0.344,1.47
10289,EIF1B,-0.345,1.361
55269,PSPC1,-0.345,1.439
152579,SCFD2,-0.346,1.327
84246,MED10,-0.346,1.785
2517,FUCA1,-0.347,1.409
22845,DOLK,-0.349,1.32
348926,FAM86EP,-0.351,1.327
998,CDC42,-0.352,2.439
23788,MTCH2,-0.352,2.127
5250,SLC25A3,-0.354,1.874
79717,PPCS,-0.355,1.959
11062,DUS4L,-0.355,1.547
91408,BTF3L4,-0.356,1.418
84084,RAB6C,-0.356,1.503
403313,PLPP6,-0.356,1.352
400,ARL1,-0.356,1.706
8293,SERF1A,-0.358,1.471
64149,C17orf75,-0.358,1.307
805,CALM2,-0.359,1.491
28512,NKIRAS1,-0.359,1.363
744,MPPED2,-0.359,1.333
8674,VAMP4,-0.36,1.409
201895,SMIM14,-0.36,1.528
57037,ANKMY2,-0.361,1.44
55973,BCAP29,-0.361,1.453
56260,C8orf44,-0.362,1.766
1678,TIMM8A,-0.362,1.542
51253,MRPL37,-0.363,1.31
55041,PLEKHB2,-0.364,1.908
63932,STEEP1,-0.364,2.256
25874,MPC2,-0.365,1.491
150786,RAB6D,-0.365,1.577
